Date,Open,High,Low,Close
Jan-16,293,304.2,237.1,266.15
Dec-15,291.15,300.4,258.1,293.15
Nov-15,246.8,304,239.6,289.3
Oct-15,233.8,261.8,217.05,245.95
Sep-15,301.8,306.25,228.25,230.35
Aug-15,349.75,396,272,303.5
Jul-15,345.82,360.52,328.15,347.45
Jun-15,324.28,348.55,300.38,345.82
May-15,339.35,344.48,306.02,324.65
Apr-15,345.68,356.45,289.81,336.12
Mar-15,310.02,346.65,305.98,343.32
Feb-15,301.18,324.65,284.01,301.42
Jan-15,305.55,325.22,285.61,300.75
Dec-14,286.68,307.35,262.68,305.02
Nov-14,281.88,300.48,268.71,285.41
Oct-14,264.68,285.95,234.68,280.31
Sep-14,250.18,298.68,250.18,263.78
Aug-14,240.98,260.81,229.51,247.98
Jul-14,217.21,255.28,215.78,243.31
Jun-14,200.94,218.21,196.68,216.18
May-14,170.48,204.54,170.48,199.71
Apr-14,171.78,183.91,163.64,169.18
Mar-14,156.27,172.68,144.81,170.38
Feb-14,136.54,156.61,127.51,154.51
Jan-14,122.94,145.61,118.84,136.07
Dec-13,126.46,136.34,119.74,121.67
Nov-13,121.5,133.25,111.36,126.46
Oct-13,101.47,121.45,100.51,120.54
Sep-13,88.4,104.39,85.45,102.72
Aug-13,93.67,107.92,82.77,86.77
Jul-13,88.67,102.74,82.75,91.82
Jun-13,95.59,96.02,86.28,88.56
May-13,87.1,100.39,78.28,95.88
Apr-13,85.76,87.55,77.66,87.02
Mar-13,75.96,95.23,75.96,86.72
Feb-13,88.33,93.54,79.56,87.95
Jan-13,89.2,91.21,86.44,88.22
Dec-12,78.19,92.86,76.09,88.56
Nov-12,67.9,80.4,67.9,77.86
Oct-12,66.65,80.32,65.04,69.55
Sep-12,54.68,67.3,53.9,66.59
Aug-12,47.7,56.88,46.22,54.35
Jul-12,49.14,51.97,47.14,47.77
Jun-12,49.14,50.63,46.31,48.68
May-12,53.18,54.48,46.79,49.04
Apr-12,56.11,60.46,52.27,53.3
Mar-12,57.18,57.76,50.96,55.5
Feb-12,48.7,61.56,46.02,56.85
Jan-12,41.36,49.26,39.04,48.65
Dec-11,45.86,47.89,38.42,40.58
Nov-11,55.33,59.38,37.1,45.31
Oct-11,51.52,56.58,47.92,55.71
Sep-11,56.58,64.56,48.45,52.62
Aug-11,69.98,71.4,54.95,55.75
Jul-11,67.84,76.21,65.22,68.23
Jun-11,68.17,73.56,61.22,67.14
May-11,67.92,69.98,61.08,67.9
Apr-11,64.04,72.54,61.47,68.57
Mar-11,59.08,67.78,56.29,63.97
Feb-11,52.86,59.26,48.41,58.92
Jan-11,54.66,59.95,49.88,53.56
Dec-10,55.15,58.37,53.16,54.23
Nov-10,55.51,57.96,50.06,56.2
Oct-10,54.2,60.13,52.89,54.59
Sep-10,52.77,59.77,51.76,54.12
Aug-10,49.92,55.99,48.93,53.08
Jul-10,42.66,51.34,41.8,50.08
Jun-10,41.1,44.82,40.02,43.33
